,Unnamed: 0,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
667,190777,2021,2020-21,1610612747,Los Angeles Lakers,203076,Anthony Davis,F,PF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,1.6,6.665,18,3,8,43
668,190778,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.82,8.254999999999999,26,3,8,56
669,190779,2021,2020-21,1610612747,Los Angeles Lakers,203471,Dennis Schroder,G,SG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,1.45,6.825,17,3,9,11
670,190780,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.43,6.675,9,3,9,25
672,190782,2021,2020-21,1610612747,Los Angeles Lakers,203484,Kentavious Caldwell-Pope,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.06,7.465,26,3,9,36
674,190784,2021,2020-21,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,5.905,1,3,9,51
675,190785,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.925,2,3,9,58
676,190786,2021,2020-21,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.4300000000000002,7.985,26,3,10,17
677,190787,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.29,6.9350000000000005,11,3,10,33
678,190788,2021,2020-21,1610612747,Los Angeles Lakers,203076,Anthony Davis,F,PF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,0.5599999999999999,6.505,9,3,10,51
